camera,number,setup,result_1,result_2,result_3,result_4
rsd455,1,1,0.016435212053167517,0.007160089431728729,0.00757884425484852,[2.44705164 0.99174413 1.98558666 1.87772899]
rsd455,2,1,0.0036438361299231488,0.022271907976498254,0.005790549169859514,[4.02746573 2.93949755 3.94495824 2.89992328]
rsd455,3,1,0.03153633967954162,0.04679326632991083,0.004541523482245131,[4.22932056 3.55034436 3.97311771 3.8006742 ]
rsd455,4,1,0.07986379570535727,0.08796679270994516,0.011279553526128869,[3.82361479 3.67003866 3.42434208 3.71215357]
rsd455,5,1,0.13288787655762702,0.19934149122101683,0.05855132083081266,[3.80805457 3.86239434 3.859565   3.33619425]
rsd455,6,1,0.004542253463028987,0.01427737286561349,0.04570178799489145,[3.00504164 4.00041624 4.39322626 2.90824869]
rsd455,7,3,0.0005814307528829721,0.0031862309406171544,3.43714132133385,
rsd455,8,3,-0.01672452214650634,0.01057076157659011,20.688538789756297,
rsd455,9,3,0.012809189859654138,0.04878221273615458,8.892841648970409,
zed2,2,1,0.027812285502499538,0.01991319996012384,8.618213157138753e-07,[4.00876613 4.14932162 6.00638558 3.10180127]
zed2,10,3,0.00020956040649207364,0.03580424413980343,17.19228624924837,
zed2,11,1,0.08402569240086644,0.07178035838339968,0.14097088959111367,[4.92558932 6.54714613 5.34343179 3.25451826]
zed2,12,2,0.9999984850780185,49.37328610962963,,
zed2,13,2,0.9999986156992292,82.67207971746193,,
zed2,14,2,0.9988502081139362,117.0816297285256,,
zed2,1,1,0.017977434108671888,0.018647753703395418,0.001508273897794412,[4.51532625 1.96037463 1.38660989 1.76379023]
zed2,3,1,0.02605515639821903,0.024400456291021777,0.0011706156009953477,[4.28371782 6.28045894 3.99666323 3.55914797]
zed2,4,1,0.01527741970891461,0.04809800724790313,0.00016403662575491913,[4.33010289 4.46872311 4.3050881  3.47755467]
zed2,5,1,0.11466705665059695,0.0895433926141084,0.023622931442080376,[4.58484222 6.82513157 4.35209486 2.96831859]
zed2,6,1,0.07832487984194746,0.09364179800653114,0.010925500335152733,[4.59900552 3.34052476 4.71327785 2.77440106]
zed2,7,3,-0.0114370919768269,0.008843334891165771,4.573589604179615,
zed2,8,3,-0.012755758438247264,0.01716945316361527,13.933104379851473,
zed2,9,3,0.0017205518099969175,0.027717496889540925,14.220309217000356,
